lat,cdf
4.163,2.5899964856338e-08
4.2,5.1799929712675e-08
4.263,7.7699894569013e-08
4.338,1.0359985942535e-07
4.401,1.2949982428169e-07
4.463,1.5539978913803e-07
4.476,1.8129975399436e-07
4.538,2.071997188507e-07
4.613,2.3309968370704e-07
4.638,2.8489961341971e-07
4.651,3.1079957827605e-07
4.663,3.8849947284507e-07
4.675,4.143994377014e-07
4.676,4.4029940255774e-07
4.688,4.9209933227042e-07
4.763,5.1799929712675e-07
4.788,5.6979922683943e-07
4.813,5.9569919169577e-07
4.85,6.215991565521e-07
4.851,6.4749912140844e-07
4.863,6.7339908626478e-07
4.875,6.9929905112112e-07
4.888,7.2519901597746e-07
4.913,7.7699894569013e-07
4.925,8.0289891054647e-07
4.926,8.2879887540281e-07
4.938,8.5469884025914e-07
4.975,8.8059880511548e-07
4.976,9.3239873482816e-07
4.988,1.0618985591098e-06
5.001,1.0877985239662e-06
5.013,1.1395984536789e-06
5.088,1.1654984185352e-06
5.1,1.1913983833915e-06
5.101,1.2172983482479e-06
5.151,1.2431983131042e-06
5.163,1.2690982779605e-06
5.225,1.2949982428169e-06
5.226,1.3208982076732e-06
5.238,1.3985981022422e-06
5.251,1.4244980670986e-06
5.263,1.4762979968112e-06
5.275,1.5280979265239e-06
5.276,1.5798978562366e-06
5.288,1.7093976805183e-06
5.313,1.761197610231e-06
5.325,1.8129975399436e-06
5.326,1.8388975048e-06
5.338,1.916597399369e-06
5.35,1.9424973642253e-06
5.351,1.9683973290817e-06
5.388,2.0460972236507e-06
5.4,2.0978971533634e-06
5.401,2.1237971182197e-06
5.438,2.149697083076e-06
5.45,2.2014970127887e-06
5.451,2.2532969425014e-06
5.463,2.3309968370704e-06
5.476,2.3827967667831e-06
5.488,2.4345966964957e-06
5.5,2.4604966613521e-06
5.501,2.5122965910648e-06
5.513,2.5640965207774e-06
5.575,2.5899964856338e-06
5.588,2.7453962747718e-06
5.601,2.7712962396281e-06
5.625,2.7971962044845e-06
5.626,2.8230961693408e-06
5.663,2.8748960990535e-06
5.676,2.9007960639098e-06
5.688,2.9784959584788e-06
5.7,3.0043959233352e-06
5.701,3.0561958530478e-06
5.725,3.1079957827605e-06
5.726,3.1338957476169e-06
5.738,3.1856956773295e-06
5.763,3.2115956421859e-06
5.788,3.3669954313239e-06
5.801,3.3928953961802e-06
5.813,3.4187953610366e-06
5.825,3.4446953258929e-06
5.826,3.4964952556056e-06
5.85,3.5223952204619e-06
5.863,3.7036949744563e-06
5.875,3.755494904169e-06
5.876,3.8072948338816e-06
5.888,3.833194798738e-06
5.9,3.988594587876e-06
5.901,4.143994377014e-06
5.913,4.3770940607211e-06
5.925,4.4288939904337e-06
5.938,4.4547939552901e-06
5.95,4.5065938850028e-06
5.951,4.5842937795718e-06
5.963,4.7137936038535e-06
5.976,4.7396935687098e-06
5.988,4.7914934984225e-06
6,4.9209933227042e-06
6.001,5.0504931469858e-06
6.013,5.3612927252619e-06
6.025,5.4130926549746e-06
6.026,5.4648925846873e-06
6.038,5.5166925143999e-06
6.05,5.5425924792563e-06
6.063,5.5943924089689e-06
6.075,5.6461923386816e-06
6.076,5.672092303538e-06
6.088,5.827492092676e-06
6.1,5.8533920575323e-06
6.101,5.9310919521013e-06
6.113,5.982891881814e-06
6.15,6.0346918115267e-06
6.151,6.060591776383e-06
6.163,6.138291670952e-06
6.175,6.215991565521e-06
6.176,6.2677914952337e-06
6.188,6.3713913546591e-06
6.2,6.5267911437971e-06
6.201,6.6303910032224e-06
6.213,6.8375907220731e-06
6.225,6.9411905814985e-06
6.226,7.0447904409239e-06
6.238,7.5109898083379e-06
6.25,7.6922895623323e-06
6.251,7.9253892460393e-06
6.263,8.1066890000337e-06
6.276,8.1584889297464e-06
6.288,8.4174885783097e-06
6.3,8.5987883323041e-06
6.301,8.9354878754365e-06
6.313,9.3239873482816e-06
6.325,9.5311870671323e-06
6.326,9.6347869265576e-06
6.338,9.893786575121e-06
6.35,9.9196865399773e-06
6.351,9.97148646969e-06
6.363,1.0100986293972e-05
6.375,1.0126886258828e-05
6.376,1.0178686188541e-05
6.388,1.0437685837104e-05
6.4,1.0696685485667e-05
6.401,1.0877985239662e-05
6.413,1.1214684782794e-05
6.425,1.1240584747651e-05
6.426,1.1344184607076e-05
6.438,1.1447784466501e-05
6.45,1.1551384325927e-05
6.451,1.1654984185352e-05
6.463,1.1680884150208e-05
6.475,1.1758584044777e-05
6.476,1.1784484009634e-05
6.488,1.1888083869059e-05
6.5,1.2017583693341e-05
6.501,1.2147083517622e-05
6.513,1.2354283236473e-05
6.525,1.2406083166186e-05
6.526,1.2509683025611e-05
6.538,1.2716882744462e-05
6.55,1.2768682674174e-05
6.551,1.2846382568743e-05
6.563,1.3001782357882e-05
