lat,cdf
3.975,5.1783089853992e-08
3.987,1.0356617970798e-07
3.988,1.2945772463498e-07
4,1.5534926956197e-07
4.013,2.0713235941597e-07
4.038,2.3302390434296e-07
4.05,3.3659008405095e-07
4.062,3.6248162897794e-07
4.063,4.1426471883193e-07
4.075,4.6604780868592e-07
4.087,5.1783089853992e-07
4.1,6.213970782479e-07
4.113,6.7318016810189e-07
4.125,7.5085480288288e-07
4.137,8.0263789273687e-07
4.138,8.8031252751786e-07
4.15,9.0620407244485e-07
4.175,9.3209561737185e-07
4.187,9.5798716229885e-07
4.188,1.0356617970798e-06
4.2,1.1133364318608e-06
4.212,1.2169026115688e-06
4.225,1.2427941564958e-06
4.237,1.2945772463498e-06
4.238,1.3463603362038e-06
4.25,1.3981434260578e-06
4.262,1.4240349709848e-06
4.263,1.4499265159118e-06
4.275,1.5276011506928e-06
4.3,1.6311673304007e-06
4.337,1.6570588753277e-06
4.35,1.7347335101087e-06
4.375,1.7606250550357e-06
4.387,1.8641912347437e-06
4.388,1.9418658695247e-06
4.4,2.0713235941597e-06
4.412,2.1231066840137e-06
4.413,2.1748897738676e-06
4.425,2.3043474985026e-06
4.437,2.4079136782106e-06
4.438,2.5114798579186e-06
4.45,2.6409375825536e-06
4.462,2.7186122173346e-06
4.463,2.8221783970425e-06
4.475,3.0034192115315e-06
4.487,3.1846600260205e-06
4.488,3.3659008405095e-06
4.5,3.5471416549984e-06
4.512,3.6765993796334e-06
4.513,3.7542740144144e-06
4.525,3.8319486491954e-06
4.537,3.8837317390494e-06
4.538,3.9614063738304e-06
4.55,4.1944302781733e-06
4.562,4.2462133680273e-06
4.563,4.3238880028083e-06
4.575,4.4274541825163e-06
4.587,4.4792372723703e-06
4.588,4.5310203622243e-06
4.6,4.5569119071513e-06
4.613,4.6345865419323e-06
4.625,4.7640442665672e-06
4.637,4.7899358114942e-06
4.638,4.8676104462752e-06
4.65,4.9970681709102e-06
4.662,5.1006343506182e-06
4.663,5.2042005303262e-06
4.675,5.3854413448151e-06
4.687,5.4372244346691e-06
4.688,5.5407906143771e-06
4.7,5.6702483390121e-06
4.712,5.7479229737931e-06
4.713,5.8255976085741e-06
4.725,6.03272996799e-06
4.737,6.239862327406e-06
4.738,6.343428507114e-06
4.75,6.4987777766759e-06
4.762,6.5505608665299e-06
4.775,6.7059101360919e-06
4.787,6.7318016810189e-06
4.788,6.8871509505809e-06
4.8,7.0942833099969e-06
4.812,7.1978494897048e-06
4.813,7.2237410346318e-06
4.825,7.4049818491208e-06
4.837,7.5085480288288e-06
4.838,7.6121142085368e-06
4.85,7.8710296578067e-06
